Material ID,Polymer Name (Formula),Decomposition Energy (eV/atom),Density (g/cm³),Thermal Conductivity (W/m·K),Heat Capacity (J/mol·K)
mp-1238260,CsMoH2C2SO7,N/A,2.625191383604854,N/A,N/A
mp-601228,NaH2CSO4F3,N/A,1.637222889497823,N/A,N/A
mp-605166,KDyH2C2SO9,N/A,3.406176998094318,N/A,N/A
mp-699253,K2H2C3S2O7F6,N/A,2.266462795783919,N/A,N/A
mp-774223,K2H2OsCCl5O2,N/A,2.950050718223235,N/A,N/A
mp-1229322,BaCoH2C3ClO8,N/A,2.907074089724201,N/A,N/A
mp-723065,H2C2S3N2(OF)6,N/A,2.178698203163776,N/A,N/A
mp-735584,Rb2FeH2C5(N3O)2,N/A,2.180635522809504,N/A,N/A
mp-1196083,KH2AuC4N4O,N/A,2.652473798905727,N/A,N/A
mp-1196706,SbH2CS(OF3)3,N/A,2.52778195981526,N/A,N/A
mp-1212169,K2CdH2C8(N3O4)2,N/A,2.161306315903833,N/A,N/A
mp-1221113,NaLuP2H2CO7,N/A,3.482275513538197,N/A,N/A
mp-707443,Na7AlH2C4(O3F)4,N/A,2.459876434688916,N/A,N/A
mp-690844,FeH2C4N4Cl6O,N/A,1.552285551381324,N/A,N/A
mp-1200387,NaFePH2(CO3)2,N/A,2.704035018155348,N/A,N/A
mp-1202889,NaZnPH2(CO3)2,N/A,2.890600840657674,N/A,N/A
mp-601202,NaH2CSO4F3,N/A,1.986246026987415,N/A,N/A
mp-720719,Ca2Y2Si4H2CO16,N/A,3.285598320820513,N/A,N/A
mp-722245,K2H2C2S2N2O,N/A,1.697385859429542,N/A,N/A
mp-690847,AsH2C2NCl2O,N/A,1.9205051469856742,N/A,N/A
mp-1198212,CsMo2H2C7S7(OF)21,N/A,2.147192803801426,N/A,N/A
mp-554761,BaH2C4S4N2(O3F4)3,N/A,2.371106521409843,N/A,N/A
mp-711343,H2RuC8S3N(ClO)3,N/A,1.378981920296889,N/A,N/A
mp-1212142,KCu2H2C2BrN2O,N/A,2.693463175447475,N/A,N/A
mp-643643,BaH2CSNClO,N/A,2.838334894667104,N/A,N/A
mp-698252,KV2H2C8N2(OF)5,N/A,1.6949453055002972,N/A,N/A
mp-1181214,H3CO3,N/A,1.609395246728368,N/A,N/A
mp-1181349,H3CO3,N/A,1.513729896868655,N/A,N/A
mp-1194227,H3CO3,N/A,1.650628128792302,N/A,N/A
mp-1102469,LiH3C2O5,N/A,1.7131523657069012,N/A,N/A
mp-1202487,InH3C2O5,N/A,2.811823643216115,N/A,N/A
mp-1194779,CuH3C3O4,N/A,2.343603884239161,N/A,N/A
mp-1199075,H3CSO3,N/A,1.474984955240188,N/A,N/A
mp-1208136,VH3(C2O3)2,N/A,1.9087596733477632,N/A,N/A
mp-23755,BaH3C3O7,N/A,2.707803494799491,N/A,N/A
mp-557528,ScH3(CO2)3,N/A,1.8396239197468032,N/A,N/A
mp-736390,SrH3C3O7,N/A,2.518272446762276,N/A,N/A
mp-1212532,H3CN4O,N/A,1.296093185898656,N/A,N/A
mp-23664,YH3(CO2)3,N/A,2.9241248995843963,N/A,N/A
mp-23771,SmH3(CO2)3,N/A,3.570678591608989,N/A,N/A
